"month","type","category","number"
"2023-01","10 Year","Category A","52"
"2023-01","10 Year","Category B","151"
"2023-01","10 Year","Category C","12"
"2023-01","10 Year","Category D","105"
"2023-02","5 Year","Category A","31"
"2023-02","5 Year","Category B","26"
"2023-02","5 Year","Category C","432"
"2023-02","5 Year","Category D","258"
"2023-02","10 Year","Category A","29"
"2023-02","10 Year","Category B","99"
"2023-02","10 Year","Category C","7"
"2023-02","10 Year","Category D","146"
"2023-03","5 Year","Category A","96"
"2023-03","5 Year","Category B","58"
"2023-03","5 Year","Category C","447"
"2023-03","5 Year","Category D","419"
"2023-03","10 Year","Category A","143"
"2023-03","10 Year","Category B","366"
"2023-03","10 Year","Category C","14"
"2023-03","10 Year","Category D","304"
"2023-04","5 Year","Category A","205"
"2023-04","5 Year","Category B","64"
"2023-04","5 Year","Category C","153"
"2023-04","5 Year","Category D","299"
"2023-04","10 Year","Category A","246"
"2023-04","10 Year","Category B","310"
"2023-04","10 Year","Category C","4"
"2023-04","10 Year","Category D","258"
"2023-05","5 Year","Category A","98"
"2023-05","5 Year","Category B","28"
"2023-05","5 Year","Category C","414"
"2023-05","5 Year","Category D","125"
"2023-05","10 Year","Category A","62"
"2023-05","10 Year","Category B","128"
"2023-05","10 Year","Category C","7"
"2023-05","10 Year","Category D","82"
"2023-06","5 Year","Category A","71"
"2023-06","5 Year","Category B","38"
"2023-06","5 Year","Category C","545"
"2023-06","5 Year","Category D","279"
"2023-06","10 Year","Category A","48"
"2023-06","10 Year","Category B","137"
"2023-06","10 Year","Category C","19"
"2023-06","10 Year","Category D","227"
"2023-07","5 Year","Category A","42"
"2023-07","5 Year","Category B","23"
"2023-07","5 Year","Category C","817"
"2023-07","5 Year","Category D","331"
"2023-07","10 Year","Category A","29"
"2023-07","10 Year","Category B","69"
"2023-07","10 Year","Category C","32"
"2023-07","10 Year","Category D","261"
"2023-08","5 Year","Category A","115"
"2023-08","5 Year","Category B","57"
"2023-08","5 Year","Category C","501"
"2023-08","5 Year","Category D","721"
"2023-08","10 Year","Category A","89"
"2023-08","10 Year","Category B","232"
"2023-08","10 Year","Category C","20"
"2023-08","10 Year","Category D","1065"
"2023-09","5 Year","Category A","109"
"2023-09","5 Year","Category B","60"
"2023-09","5 Year","Category C","391"
"2023-09","5 Year","Category D","98"
"2023-09","10 Year","Category A","120"
"2023-09","10 Year","Category B","210"
"2023-09","10 Year","Category C","15"
"2023-09","10 Year","Category D","80"
"2023-10","5 Year","Category A","95"
"2023-10","5 Year","Category B","44"
"2023-10","5 Year","Category C","533"
"2023-10","5 Year","Category D","300"
"2023-10","10 Year","Category A","83"
"2023-10","10 Year","Category B","188"
"2023-10","10 Year","Category C","22"
"2023-10","10 Year","Category D","276"
"2023-11","5 Year","Category A","29"
"2023-11","5 Year","Category B","11"
"2023-11","5 Year","Category C","276"
"2023-11","5 Year","Category D","152"
"2023-11","10 Year","Category A","13"
"2023-11","10 Year","Category B","14"
"2023-11","10 Year","Category C","18"
"2023-11","10 Year","Category D","106"
"2023-12","5 Year","Category A","72"
"2023-12","5 Year","Category B","34"
"2023-12","5 Year","Category C","623"
"2023-12","5 Year","Category D","305"
"2023-12","10 Year","Category A","50"
"2023-12","10 Year","Category B","51"
"2023-12","10 Year","Category C","33"
"2023-12","10 Year","Category D","291"
"2024-01","5 Year","Category A","128"
"2024-01","5 Year","Category B","36"
"2024-01","5 Year","Category C","458"
"2024-01","5 Year","Category D","357"
"2024-01","10 Year","Category A","69"
"2024-01","10 Year","Category B","87"
"2024-01","10 Year","Category C","20"
"2024-01","10 Year","Category D","406"
"2024-02","5 Year","Category A","152"
"2024-02","5 Year","Category B","42"
"2024-02","5 Year","Category C","645"
"2024-02","5 Year","Category D","338"
"2024-02","10 Year","Category A","130"
"2024-02","10 Year","Category B","132"
"2024-02","10 Year","Category C","31"
"2024-02","10 Year","Category D","489"
"2024-03","5 Year","Category A","189"
"2024-03","5 Year","Category B","51"
"2024-03","5 Year","Category C","1244"
"2024-03","5 Year","Category D","233"
"2024-03","10 Year","Category A","165"
"2024-03","10 Year","Category B","197"
"2024-03","10 Year","Category C","63"
"2024-03","10 Year","Category D","436"
"2024-04","5 Year","Category A","617"
"2024-04","5 Year","Category B","93"
"2024-04","5 Year","Category C","724"
"2024-04","5 Year","Category D","165"
"2024-04","10 Year","Category A","507"
"2024-04","10 Year","Category B","391"
"2024-04","10 Year","Category C","36"
"2024-04","10 Year","Category D","399"
"2024-05","5 Year","Category A","335"
"2024-05","5 Year","Category B","132"
"2024-05","5 Year","Category C","768"
"2024-05","5 Year","Category D","129"
"2024-05","10 Year","Category A","104"
"2024-05","10 Year","Category B","392"
"2024-05","10 Year","Category C","39"
"2024-05","10 Year","Category D","188"
"2024-06","5 Year","Category A","174"
"2024-06","5 Year","Category B","114"
"2024-06","5 Year","Category C","1008"
"2024-06","5 Year","Category D","104"
"2024-06","10 Year","Category A","72"
"2024-06","10 Year","Category B","263"
"2024-06","10 Year","Category C","60"
"2024-06","10 Year","Category D","153"
"2024-07","5 Year","Category A","148"
"2024-07","5 Year","Category B","90"
"2024-07","5 Year","Category C","1514"
"2024-07","5 Year","Category D","146"
"2024-07","10 Year","Category A","47"
"2024-07","10 Year","Category B","177"
"2024-07","10 Year","Category C","100"
"2024-07","10 Year","Category D","240"
"2024-08","5 Year","Category A","279"
"2024-08","5 Year","Category B","149"
"2024-08","5 Year","Category C","1106"
"2024-08","5 Year","Category D","189"
"2024-08","10 Year","Category A","140"
"2024-08","10 Year","Category B","387"
"2024-08","10 Year","Category C","67"
"2024-08","10 Year","Category D","333"
"2024-09","5 Year","Category A","362"
"2024-09","5 Year","Category B","164"
"2024-09","5 Year","Category C","1301"
"2024-09","5 Year","Category D","218"
"2024-09","10 Year","Category A","192"
"2024-09","10 Year","Category B","582"
"2024-09","10 Year","Category C","87"
"2024-09","10 Year","Category D","424"
"2024-10","5 Year","Category A","283"
"2024-10","5 Year","Category B","148"
"2024-10","5 Year","Category C","1161"
"2024-10","5 Year","Category D","110"
"2024-10","10 Year","Category A","130"
"2024-10","10 Year","Category B","400"
"2024-10","10 Year","Category C","73"
"2024-10","10 Year","Category D","200"
"2024-11","5 Year","Category A","107"
"2024-11","5 Year","Category B","63"
"2024-11","5 Year","Category C","663"
"2024-11","5 Year","Category D","100"
"2024-11","10 Year","Category A","33"
"2024-11","10 Year","Category B","125"
"2024-11","10 Year","Category C","35"
"2024-11","10 Year","Category D","106"
"2024-12","5 Year","Category A","148"
"2024-12","5 Year","Category B","70"
"2024-12","5 Year","Category C","643"
"2024-12","5 Year","Category D","140"
"2024-12","10 Year","Category A","70"
"2024-12","10 Year","Category B","199"
"2024-12","10 Year","Category C","48"
"2024-12","10 Year","Category D","208"
"2025-01","5 Year","Category A","211"
"2025-01","5 Year","Category B","179"
"2025-01","5 Year","Category C","676"
"2025-01","5 Year","Category D","205"
"2025-01","10 Year","Category A","117"
"2025-01","10 Year","Category B","554"
"2025-01","10 Year","Category C","42"
"2025-01","10 Year","Category D","337"
"2025-02","5 Year","Category A","193"
"2025-02","5 Year","Category B","91"
"2025-02","5 Year","Category C","433"
"2025-02","5 Year","Category D","178"
"2025-02","10 Year","Category A","85"
"2025-02","10 Year","Category B","226"
"2025-02","10 Year","Category C","27"
"2025-02","10 Year","Category D","368"
"2025-03","5 Year","Category A","403"
"2025-03","5 Year","Category B","148"
"2025-03","5 Year","Category C","927"
"2025-03","5 Year","Category D","222"
"2025-03","10 Year","Category A","195"
"2025-03","10 Year","Category B","432"
"2025-03","10 Year","Category C","98"
"2025-03","10 Year","Category D","557"
"2025-04","5 Year","Category A","499"
"2025-04","5 Year","Category B","89"
"2025-04","5 Year","Category C","864"
"2025-04","5 Year","Category D","118"
"2025-04","10 Year","Category A","362"
"2025-04","10 Year","Category B","176"
"2025-04","10 Year","Category C","83"
"2025-04","10 Year","Category D","274"
